src,target
14 18,18 14
15 1,15 27 13 1
6 16,6 6 2 2 2 2 2
16 4,16 28 8 16 28 8
13 13,3 1 3 3 1 3 5
1 19,41 37 1 9
9 16,15 9 43 36 7 44 28 23 1
3 4,4 3
2 5,2 1 2 0 0 1 5 1
13 20,48 20 34 69 55 13 41 27 62
6 13,20 48 6 12 41
4 3,2 1
10 11,11 10
7 15,7 37 22 15 9
14 5,14 5 13 40 4 22 31
4 19,4 7 15 23 22 42 19 29
13 14,13
14 7,7 49 14 28 21
14 4,3 0 2 1 8 6 5 9 7
2 15,32 49 15 2 17
10 11,16 12 18 10 21 15
20 7,6 0 0 2 1 6 8 4 4
1 12,2 1
4 8,0 4 0 8 4 0 4 4 4
7 8,8 7 7 5 8 6 6
4 7,9 8 3 2
19 1,19
20 13,15 13 6 22 8 1 20 29
12 2,8 8 12 12 22
3 8,4 2 2 4 4 2
19 20,24 25 21 19 27
6 11,16 46 11 16 26 36 6 31
3 15,19 18 34 3 1 35 15 33
1 12,13 12 1
12 4,4 20 12 12 4
9 18,45 22 39 17 27 45 9 6 18
14 1,14
11 2,34 16 25 2 11 7
20 2,2 0 0 0 2 2 0
12 10,0 2 2 0 0 2
20 11,2 11 20
16 6,0 7 1 6 8 2 9 9
19 5,9 5 0 6
14 9,2 1
16 2,30 16 12 12 16 30 16 12
18 19,18 19 20
9 17,5 9 7 1 7 7 7 5
3 17,3 31 17
14 18,14 38 8 46 12 22 34
2 10,2 26 10 34 18
11 1,13 12 13 38 1 14 1 25 11
14 20,4 3 0 2 8 4 8
18 20,22 28 18
2 4,8 0
14 11,4 1 5 8 14 2
9 11,2 1 7 7 2 3 9 5
16 10,16 10 26
13 8,1 1 0 8 2 1 3 2
14 13,14
9 12,9 21 4 33 12
7 10,44 27 21 7 10 15 17
5 20,20 35 5 50 10 80 65 95
18 6,18 42 6 30 54 6 18
13 13,1
13 18,1 4 3 4 3 8 2 3 5
9 5,1 11 7 7 9 11 1 1
15 19,37 34 3 27 15 19 40
3 12,3 3 2
6 1,1 6 4 19 14 24 9
3 2,6 6 6 6 6
13 3,4 3 3
7 12,37 47 32 17 7
6 20,26 24 6 10 34 40 18
4 13,22 4
15 20,0 0 0 3 0 0 0 0 0
8 15,22 0 8 43 14
16 14,12 8 10 14 16 4 6
7 8,12 7 19 21 15 18 24 13 9
2 7,42 12 27 2 32 12 7
12 1,14 1 13 12
16 6,26 26 4 4 16 16 4 16
8 4,16 16 8 44 22 28 4 12
20 11,4 1 1 5 2 5 0 0
4 15,15 37 4 48 70 81 26 92 59
18 7,2 6 2 1
17 7,23 53 7 3 43 13 17 33 63
1 2,7 5 1 4 8 3 6 2
18 14,24 18 32 14 2 28 46
5 20,45 25 5 20 20
18 1,18 1 19
1 16,1 41 16 31 26 21
10 11,21 18 16 10 15 12 22 24
19 2,2 1 1 2 1 2 9 0
3 15,15 18 3
8 15,22 8 36 15 29
10 6,38 22 10 6 16 10
14 18,14
20 4,0 2 0 2 4 2
8 4,28 16 8 4 12
8 18,8 18
15 4,4 1 1 5 6 5 0
12 17,29 12 21 25 46 13 17 46 17
9 5,0 2 1 1 1 2 5 0 9
5 11,1 5 9 1 7 7 5 9
16 18,16 2 34 36 18
6 10,0 6 6 0 6
2 14,6 0 4 4 8 2 8 2
20 13,46 33 13 20
7 10,9 8 1 2 7 0
19 9,19
5 20,25 5 20
6 12,12 6
12 13,6 1 5 5
8 5,1 2 8 5
12 17,12 17 46 29
10 1,10
16 8,0 0 16 24 24 24 0 16 16
12 6,12 6
19 13,2
16 9,4 1 4
20 1,1 22 20 21
11 14,1
18 12,8 2 1 2 4
4 12,20 4 12 28 44 36
5 9,13 5
11 11,11 11 11 11 11 11 11
8 2,8 10 2
19 5,9 19 33 19 33 9
19 6,20 6 7 19
10 16,10 22 16
12 17,13 46 25 46 17 12 21 17 29
20 16,2 6 2 0 0 0 0
18 18,23 26 20 24 32 30 29 18
13 19,43 37 55 31 19 25 61 13 49
16 11,9 4 16 6
11 3,5 11 19 11
14 13,12 9 10 11 14 13 8
8 18,8 8
12 10,8 0 2 4 2 12
9 8,42 8 25 17 9 17 9
15 11,5 1 7 7 1 15 5 7
8 10,10 12 8
7 9,7
5 1,3 1 5
16 8,9 1 5 8 3 2 4 1 0
11 16,21 11 36
12 5,5 12
8 2,2 40 34 10 22 16 4 8 28
19 3,7 8 7 5 9 8 0 6
19 4,8 7 7 6
11 9,7 9 11
2 3,4 2
19 4,1 4 1 9 4 3 3 2
5 17,5 17
4 11,5 4 4 5
14 6,6 2 18 14 10
14 9,1 0 6 8 4 2 8 6
2 10,4 2 0 4 0 2 2 2
5 18,5 41 14 23 18 5 19
6 5,6 5 2
5 15,3 9 7 1 9 1 5 7
17 18,0 3
10 17,10 31 38 59 45 52 17 24
13 18,2
6 19,9 6 3 1
7 8,3 2 8 7 0 3 3
5 20,4 6 1 6 4 2 0 2 0
6 11,11 17 6 45 28
7 11,7
1 19,27 55 91 19 45 37 1 9 73
9 1,7 9
19 14,7 30 47 27 14 19 33
19 12,2 2
3 4,7 4 3
12 1,1 18 27 27 41 14 9 13 12
2 6,8 2 6 8 22 36 14
18 12,18
1 1,1 1 3 2 5 8
16 1,31 16 14 31 16 31 16 14 14
16 9,9 5 2 12 16
1 18,1 4 5 8 5 1 2
7 6,6 1 8 7 8 6
2 16,16 2
17 9,1 17 23
12 17,12 25 46 29 17
8 4,12 4 8
15 3,3 18 21 15 39
2 6,5 3 1 2 7 4 8 6
8 5,5 1 4 2 8
2 3,2
18 15,0 2 0 7 7 0 7 7
19 11,1 1 2 2 1 3 9
1 14,1 40 14 53 27
16 10,1
8 4,8 12 8 0
7 6,2 2 5 1 7 1
16 11,11 16 27
3 18,3
17 15,32 5 15 36 29 47 31 17 26
6 13,1 17 33 34 32 13 6 19
16 15,1 4 5 5 1 0 2 0 6
6 6,12 8 11 6 14
16 1,29 1 14 16
9 4,3 6 6 3 3 6 3
5 5,19 10 11 17 16 5 7 13
3 9,1 9 3 3 3 3 5 5 3
8 13,2 8 3 1
13 11,3
19 15,15 11 19
3 5,5 13 3 8
17 4,46 21 5 17 38 21 17 25 4
15 4,6 0 6 0 6 0
15 4,15
19 2,2 9 1 1 0
17 18,18 17 35
18 7,4 18 29 18 4
16 6,4 24 16 14 6
13 12,1 7 6 7 5 6
2 3,2 7 14 8 4 10 13 16
15 9,3 15 9 3 15
18 18,3 2 4 4 4 2 2 2
1 1,1 3
6 11,36 16 31 11 6 26 21
4 14,4 4
7 9,7 9
1 2,3 4 2 1
7 19,1 3
19 3,13 35 13 13 35 19 19 19
19 18,18 5 37 36 47 39 42 19
1 16,16 76 31 6 46 61 21 91 1
15 4,4 15 18 40 7 29
1 11,1 21 31 11 1
18 4,10 32 10 18 18
7 7,7 7 7 7 7 7 7
11 4,6 4 4
16 18,32 28 30 20 24 16 26 18 22
3 7,35 27 47 23 3 1 11
5 17,89 77 65 29 53 41 5 1 17
18 7,4 29 18 29 18 18 4 4 29
2 13,6 6 0 8 8 4 2
13 9,9 13 3 11 7 1 5
12 13,6 5 5 6 5 6 1
9 11,9
11 4,17 38 45 4 11 10 24 3 31
10 20,10 30 40 80 50 60 20 70
20 18,16 10 20
8 18,4 1 4
1 15,29 1 15
15 9,1 3 5 5 5 3 3 3
3 3,9 15 3 11 14 8 20 5 17
10 20,0 0 0 0 0 0
9 18,18 27 9
6 20,2 0 0 2 0 0 2 1 2
11 18,18 11 25 32
3 12,6 3 3 6 3 6 6 3 3
20 13,13 20
8 7,6 0 2 3 8
18 15,8
15 20,3 0 0 0 0 0
6 5,0 3 3 0 3
3 19,5 7 7 5
17 3,7
12 15,3 2 5
11 2,11 7 2
1 7,49 13 1 31 37
12 11,7 34 12 23 41 11
9 5,22 35 33 37 19 9 2 14 5
10 6,6 6 10 2 10 2
8 9,13 14 10 8 12 11 15 9
11 15,3 1 1 3 5 5
20 2,6 0 4
17 11,11 13 1 5 17 19 7
6 14,6 14
8 18,8 8 0 0
20 1,20
3 1,4 3 3 6 2 1 5
15 3,10 21 49 3 18 15 39
7 8,13 7 15 12 18 9
9 5,5 4 4
8 4,4 8 28 44 12 16
4 1,4 2 8 5 1
8 20,8 1 6 0
1 7,1 31 23 3 13 17 37 35 49
13 16,16 13 19
6 20,6 0 4 6 6 0
16 6,16 4
14 10,4 8 4 0 1 0 2 6 6
4 15,3 17 34 4 27 37 40 19 15
10 18,10 18 46 24 14 44 8 20 28
18 12,18 6 12
2 2,6 4 8 6
5 9,13 3 25 37 29 23 5 49 11
17 10,11 18 3 18 11 3 17 3
9 16,9
13 17,47 30 13 17
17 11,2 2 7 2 0 1 0 1 1
18 6,8
16 2,30 16 16 12 12 12 30 16 30
13 20,47 27 13 48 5 19 40
17 2,17 32 17 13
11 14,11 29 14 26 23 32 17 35 20
13 13,9 6 1
5 13,13 5
4 7,2
4 19,9 8 7 7 6
13 5,7 6 5
15 7,1 5 3 1 7
1 10,1 0 1 2
5 18,5
19 14,19 33 47 14
13 18,3 4 4 3 1 8
7 4,11 4 2 7 1 8 5 17 14
20 20,0 0 0 0 0 0
19 20,19
13 7,5 0 5 8 3 7
4 12,2 3 4
13 4,13 4 17 21
12 17,4 2 0
17 7,3 13 23 33 7 17
11 5,11 7 1 5
10 12,10
16 11,6 16
5 9,5 17 13 21 9
12 15,1
3 11,3 3 3 3 3 3 3 3
17 2,3 0 7 3 2
3 6,36 18 45 9 27 3 39 4 21
13 4,1 5 3 2 3 4 2 4
14 6,8 2 0 4 6 6 8 0 4
4 17,9 17 38 47 3 9 4 6 21
11 19,2
8 18,1
12 15,18 21 33 12 27 30 24 15
2 4,8 4 14 2 12 6 16 18 10
14 15,2 1 4 5
19 4,19 86 26 41 56 1 4 11 71
15 19,8 5 2
20 14,4 8 0
5 8,5 47 11 23 29 20 41 38
4 10,0 4
20 20,4 0
13 8,3 2 8 12 13 7
19 19,19 19 7 2 38 45
12 14,28 24 22 12 16
19 13,2
1 5,0 5 1 2
1 11,11 41 31 21 11 1 1 21
4 2,0 4 6 4
4 18,18 12 2 40 22 4
2 15,28 17 2
4 19,29 19 44 24 4 34
12 18,34 46 14 24 48 10 28 42 12
11 3,1 1 2 3 2
5 20,35 5 30
16 4,6 4 5 5
14 17,7 0 4 2 1 5
8 12,9 6 1 8 3
4 5,5 4 6 7
8 11,41 26 23 14 32 8 44
3 2,6 6 6
19 2,21 19 23 2
7 20,5 7 7 0 8
10 20,50 30 20 40 10
17 17,8 2 9
13 15,15 28 21 13 43
15 6,6 15 21 39 30 3 12
10 1,10 11 12 1 23
2 10,2
1 20,1 20
4 6,6 14 12 10 8 4 16 18 20
20 18,8 2 3 0 6 0 4
7 11,2 1 7
8 4,8 4 0
20 6,20
4 13,3 4 4
16 14,4 5 2 6 2 4 5 3
3 17,1 1 5 5 5 1
1 16,1 61 91 46 31 16 76 6
7 20,27 7 20 47
19 5,24 3 5 29 19
2 14,4 2 0 6 2 8
4 11,4 8 25 33 11 41 17 15 26
14 5,5 4 22 13 40 31 14
1 4,4 1 7 13 10
10 5,5
4 14,44 24 74 64 14 4 54 34
18 5,9 0
3 9,1 3 5 3 3 5 3 3 9
1 13,13 1 25 73 61 37 49
9 18,9
5 18,0 1 0 5 1 2 8
9 5,5 35 9 2 33 37 19 14
6 20,2 2 0 0 0 1 2
9 1,1 10 11 9
7 11,7
19 4,11 19 19 11 34 34 11 34 19
13 19,13
13 8,13
11 4,4 4
16 5,1 1 5 0 1 6
18 9,7 4 8 9 8 6 7
5 11,17 41 3 5 35
2 8,44 20 24 10 8 2 18 46 28
4 8,16 36 20 24 4 12 8 32 28
2 5,2 7 5 12 19
3 15,3 18 15
3 9,3 3 1 9 3 5 5 3
16 1,29 14 16 1
9 20,20 9
11 6,1 1 6
6 11,5 1 6 2 4 0 5 1
15 2,2 5
11 17,41 11 47 23
10 5,0 15 10 10 10 15 0 0
14 18,2 2 7 5 9 4
15 16,16 15
5 19,5 19
17 11,2 1 7 1 0 2 2 0 1
14 18,14
20 3,0 2 4 0 2 6 6 8
14 8,0 0 0 0 0 0 4 8 0
1 4,47 4 37 1 10 23 14 9 5
18 16,8 8 8 2 8
18 11,18 4 10 4 17 17 10
11 11,1 3 1
18 11,4 11 18
12 13,14 13 15 12
7 15,3 1 1 5 3 3 7 1 3
19 2,23 17 2 44 21 19
8 2,14 4 4 8 8
4 15,4 15 26
17 4,8 2 0 8 6 0
9 5,9 1 7 11 1
20 9,20 38 9 5 29 17
2 17,9 4 8 3 6 5 7
8 17,26 25 17 8 9 42 17
18 11,8 9 9 9 8 1
6 20,48 34 20 6
1 13,0 1 2 2 3 2 1 1 1
16 7,2 7 4 0 6
19 12,19
7 13,20 36 7 13 3 33 25 39
5 13,3 4 5
2 4,2 4
20 17,4 0 4 7 0
7 4,4 15 41 17 11 8 7 26 25
8 20,2 0 8
19 14,6 1 14 4 11 21 9 19 16
3 8,11 8 3
18 11,40 18 11 29
12 17,37 22 2 12 42
3 3,5 3
1 9,1 49 33 25 9 41 17
20 19,4 9 2 3 0 3
6 7,9 8 6 10 7
20 16,20 16
10 16,10
20 19,20
2 4,2 4
17 19,36 17 19 5 41
8 19,8
18 4,8
9 1,1 7 15 9
10 18,18 20 14 44 28 10 46 24
11 5,7 1 11 5
13 9,1 3 1 3 3 9
10 8,8 2 1 1 2 9 0 3 0
17 6,17
19 6,0 6 6 9
13 8,1 1 3 0 8
12 3,6 12 21 12 6
9 13,7 1 1
2 17,2 32 17 42 27 22 32 12
19 5,9
19 11,9 2 1 0
4 6,10 8 4 14 6 12
20 17,5 5 20 4 2 14 2
3 2,2 1 3 1 0 4 3 2
15 14,2 1 1 0 0 1 0 1 0
18 19,25 23 20 26 19 21 22 24 18
5 2,9 2 7 5
11 4,15 37 3 19 11 40 27 4 34
18 5,18
10 13,13 10
4 14,4
16 10,14 8 4 14 4 16 8
16 19,7 32 39 16 35 43 4 19 25
11 11,7 3 8 1 4 2 5 1 6
12 16,1 1 6 2 0 2
19 2,15 19 2
11 18,2 8 1 1 1 2 1 0
1 9,25 1 33 17 41 9 49
1 11,3 1 1 1 7 1
5 10,0 5
13 13,5 3 3 1 3 3
16 6,24 34 6 16 4 14
6 12,6 18
5 4,2 5 0 1 3 1
13 18,13
8 18,78 38 58 68 18 28 8 48
14 16,4 2 2 6 3 1
4 5,2 3 1 0
13 3,3 13
7 13,39 33 20 13 25 3 7 36
15 5,15 5
16 18,6 8 0 4 7
9 12,27 15 9 33 30 12 21 24 18
4 17,17 3 6 38 9 9 4 47 21
10 18,24 46 10 28 44 20 14 18
12 11,2 0 12 6 1 4 10 1 7
3 1,3 3 3 3 3 3
19 8,1 5 6 2 3
5 18,41 5 23 5 14 18
6 2,6
16 16,8 2 5 6 7 7 6 9 8
19 16,9 6
10 12,10
3 16,4 4 8 8 4 8 4 8
14 12,0 2 4
8 11,4 5 5 1 8 6 2
5 19,9 5
10 7,41 17 10 7 24
17 4,48 17 61 4 22 9 35
16 2,2 16
1 13,49 73 25 13 97 85 61 1 37
12 3,3
5 19,7 9 5 1 9 3 5
11 9,7 1 11
10 13,1 5 4 0 3 6 3 2 1
14 6,14 10 6 18 2
1 2,3 2 1
18 19,30 24 29 18 26 23 20
17 13,2 3 6 4 1 2 5
15 8,1 6 27 8 20 15 13
8 12,1 5 9 0 8 6 3
20 6,0 6
3 4,2 3 0 2 2 1 4
17 11,17 11
2 19,41 39 4 37 40 36 6 2 38
20 8,20 4 32 20 20 32 4
3 20,20 3
1 5,21 1 33 25 9 45
16 4,16 4
1 5,7 6 7 5 6
12 3,6 6 12 12 21
16 20,20 24 28 16
9 1,11 21 32 1 9 10
16 7,16
18 15,12 18 3 0
20 17,2 4 3 0 6 8
2 5,5 2
20 3,0 2 8 6
15 1,83 13 97 27 15 41 69 1 55
16 12,16
7 20,72 85 59 46 20 7 33
13 1,25 13 11 13 11 25 13
2 20,2 38
5 5,5 7 10
20 15,20
8 4,3 2
17 9,3 5 1 7
1 9,9 0
12 20,10 12 2 28 26
18 16,8 8 2 8 8 8 8
14 6,46 22 6 14 20 26
1 9,17 1
5 6,9 11 7 10 6 8 5 12
15 4,23 15 19 4
3 8,8 30 3 49 19 11 29
1 12,1
18 11,9 1 9 8 9 8
2 11,47 2 20
6 8,6 10 18 30 28 22 16
8 2,8 4 2
16 7,23 30 16 3 7
16 18,16
7 19,31 17 7
3 18,33 3 28 43 13 18 33 23
3 11,3
6 16,6 6
17 8,17 26 17 17 1 1 26
10 6,6 10 2 6 2 2 10 10
1 2,3 4 4 2 5 5 3
14 9,9 14 6 1 4
19 5,19 33 9
19 11,11 19 3
20 4,20 4 24 28
20 3,65 20 14 3 16 99 48 31 82
9 10,9 20 23 14 21 15 17 11
2 4,4 26 6 2 10 16
6 16,9 9 9 6 6 9 6 6
3 14,2 4 4 2
9 20,0 9
17 17,3 4 7 7
17 10,2 1 1 0 7 9 4
9 19,9 25 19 47 22 47 28 19 16
8 14,0 0 0 0 0 8 4
12 3,3 3 6 6 3 3 6 3 6
15 12,0 15 9
1 14,1 1 1 2 4
13 4,22 13 5
15 6,15 24 3 3 15 3 15 24
9 16,15 9 44 43 1 36 23
13 4,23 32 13 4 5 14
14 17,9 2 8 2 5 3 0 4 7
15 13,2 3 5
1 8,1 29 8 36 43 15 50 22
10 7,4 2 1 7 10
20 16,8 4 0 4 12 20 16 8
6 4,4 2 2 4 4 2
17 14,4 3 2 3 5 2 4 7
10 1,10 1 8 17 26
17 2,21 2 11 17 40 19
10 10,0 0 0 0 0
1 11,51 1 21 61 31 71 11 41
19 15,8 6 8 2 1 7 0 9 5
11 8,19 11 8
5 6,3 5 0
14 9,4 11 11 4 14 4 11 6 6
17 4,61 17 35 9 22 48 4
6 9,6
20 8,20
4 12,2 4 1 3 3 4
20 7,8 5 0 3 5 7
1 18,35 1 18
16 1,14 31 31 16 14 16 14 16
17 10,7 1 9 0
16 9,6 2 3 4 9 3 5 6 1
2 10,2 0 48 38 14 18 16 42 40
8 13,8 3 1 2
11 11,11 11
20 17,7 0 0 4
19 3,3 9
8 5,0 6 4 8 0 6 4 2
7 8,5 6 6
16 20,16 20 24 28
13 9,1 3 1 9 3 3 3 1 3
18 20,4 0 20 18 38 46 8
15 19,34 19 37 27 3 15 17 44 40
15 2,3
19 5,1 5 1 5 5 1 3 9
9 6,15 6 9
13 19,0 3 9
2 18,34 2 18
7 8,7 9 13 12 15
4 8,8 4
9 12,21 28 33 41 9 4 37 12
3 16,19 16 3 39 35 4 43
14 14,9 1 3 6 1 8 0
3 9,5 3 9
5 11,17 5
16 7,20 7 38 16 47 29 2 11
8 4,8 4
4 2,8 8 2 4 7 0
12 10,1
1 11,1
19 12,4 3 2 2 0 8 9
7 8,7
15 19,8 8 2 5 5
13 3,13
2 12,2 22 12 32
8 7,7 8
11 16,6 8 7 1 1 9
1 15,2 2 5 1 0 1
19 15,7 5 9 1 6
19 7,7 9
19 15,2
10 20,0 0 0 0 0
19 16,16 19
4 12,20 4
19 18,18 19 15 17 14 16
5 2,2 5 16 16 9 41 25 7
16 2,8 20 0 4 38 2 18 16 46
17 13,9 3 7 5 13 11 1 17
4 3,2 2 1
18 6,0 1
19 14,2 7 6 6
13 7,3 7
19 19,19 24 21
4 8,2 4 7 6 5 3 5 4 3
2 2,2 2
2 16,6 2 2 6 0 0 2 6 5
15 8,1 15 8
3 12,3
13 19,13
6 15,0 9 9 0 0 9 0 9
5 13,49 5 31 9 29 18 38 13 30
13 3,3 3
3 13,3
6 7,7 2 2 6
4 2,4 0
4 18,2 7 8
5 4,3 0 1 3 4 2 2 5 1
3 13,9 3 9 3 3 3 9 3 9
10 1,1 8 10 17 35 26 44
5 4,3 3 5 0 4
18 20,18 20 22 24
7 14,14 7
9 3,3 9 15 27 19 30 11 42 12
12 8,2 8
5 12,0 8 6
9 2,1 1 8
17 18,0 4 0 8 6 3 2
11 16,20 29 27 11 33 16 46 43 13
6 12,18 12 6
5 7,5 15 9
6 20,26 6 34
4 1,4
1 17,29 38 3 20 17 41 1 18 35
2 7,2 7 4 4 1 2
15 2,15
15 14,15 2 14 22 29 37 15 43
19 1,5 9 1 2
13 9,3 3 9 1
17 8,17 26 1 17
17 14,18 21 45 17 14 31 47 26 15
19 7,1
18 15,18
5 3,8 5 29 11 19 30 49 28 3
18 8,8 0 8 0 0 0
13 12,9 6 7 10 8 13 11 12
14 14,0 4 2 0 2 4 1
4 10,16 34 22 4 28 40 10
14 15,26 19 25 20 14 22 16
5 10,5 10
16 18,28 16 20 26
11 3,5 3 5 3 7 7
13 9,1 3 3 3 1 9 1
9 7,9
17 11,7 8 9 1 2 0
2 20,20 2
4 14,14 32 14 4 32 0 32 18
7 20,7 20 33 46 59
18 10,18 30 22 2 14 6 10
5 15,5 6 5
2 6,3 1 4 2
20 16,12 20 16
1 14,1 1 1 2 4
12 16,1 2 1 0 6 1 2
7 1,17 1 8 9 7 26
3 11,3 1 2
12 14,0 2 4 4 0 2 2 2
17 7,3 27 17 3 27 3 17 17 27
7 13,0 9 2 1
3 18,3 10 49 21 18 39
17 3,11 31 17 11 17 31 31 11 17
7 4,8 2
4 12,20 4
8 17,1 8 7 5 2
3 14,69 3 36 47 58 14 25
3 9,3
14 8,1 1 7 3 6 4 5 2
12 19,2 2 8 8 2 2 2 8 8
9 16,4 4 4 4 4 4 4 1 4
15 17,19 25 39 27 15 43 37 31
5 20,35 5 45 30
8 11,5 1 2 8
2 10,18 2
12 1,12 23 12 23 10 12 10 23 10
4 18,18 32 46 4
12 6,2 6 0 6 0 2 2 6 5
8 17,8 7 1
5 19,5 7 9 1
7 20,1 6 0 7 2 5 1 4
8 5,4 5 8 2 1
8 11,11 14 17 8
13 16,37 13 5 49 19 28 46 31
1 1,1
9 15,1 3 5 3
12 7,12 2
10 15,10
2 1,2
2 17,47 77 62 2 17 32
3 8,2 2 2 4 4 4 2
1 15,8 6 7 5 2 1 3 4
14 15,5 1 2 0 4
4 19,34 4 29
11 2,2 5 7 7 1 2 3
4 7,22 19 10 4 28
6 14,14 6 22
19 6,19
4 11,6 7 5 4 7 6 5 4
3 9,21 3 15 27 33 9 39
10 2,4 3 2 2 0 1 6 3 5
17 15,3 7 5
17 10,3 17 11 18
11 5,11 7 5 1 13
2 6,8 2 6 2 22 14 36 44 8
8 14,2 6 5 1 1 3 8 4 7
17 16,3 15 6 11 0 12 17 5 9
5 9,2 9 1 0 5 1 1
9 12,1 8 0
13 19,2 8 6 5 9 4 7 7
20 12,8 2 4 6 0 2
6 6,3
20 11,1 2 0 5 5 0 4
14 17,7 4 0
4 7,8 2
4 8,4 4 2 3 5 5 3 6 7
2 13,3 2 2 0 3
16 8,8 6
9 4,9
8 10,8 46 10 28 24 18
3 4,7 11 4 3 18
10 2,0
10 2,0 2 2 4 4 2 2 0 0
8 6,8 14 6
9 10,1 0 9 2 5 4
15 19,34 3 19 37 40 15
19 3,22 19 25 3
18 8,44 34 8 10 26 4 18
14 1,2 2 1 1 0 1 0 4 1
7 15,7
13 18,3 1 3 8 4 4
11 19,27 19 35 11 43 51
5 6,6 3 5 5
8 13,2 1 8 2 3 1 1 0
9 12,9
2 2,2 2 2 2 2
12 7,12 7
5 15,25 5 15 35 5
9 13,3 7 17 41 29 9 33
