src,target
5 5,7 5
6 20,2 2 2 0 2 1 0 0 0
15 16,28 15 31 25 16 3 28 47
1 1,1 9 6 13 7 3 12
18 6,18 6
5 2,1 5 5 1 8 8 1 5
19 11,1 3 9 1 2
10 5,0 10 15 5 10 5
17 18,19 28 22 25 17 23
20 4,2 2 4 0 0 4 4 2 0
11 8,11 19 8
9 14,47 14 9 37 10 23 4 7
18 15,6 0 18 3 3 12 9 15
15 7,15 7 25 41 49 33 9 1 17
18 10,2 18 22 14 2
18 4,22 18 26 4
3 19,29 31 3 35 49 33
20 17,4 6 3 0
17 13,13 17
13 20,19 13 27 40 47 48 5
15 13,1 1 5 3 2
6 18,0 28 10 24 16 38 30 6 2
5 15,5 8 5 6
7 18,29 7 12 45 23
7 18,2 1 6
3 5,5 1 5 5 1 1
17 6,0 1
3 8,8 18 13 23 3
17 16,17 12 15
19 13,7 2 4 8 5
9 6,9 3 6
18 13,3 3 8 4 1 2
14 12,4 8 6 0 2 0 2 1 8
18 16,18 16
10 7,5 2 1 7 4 10
8 19,4 1 2 9 5 6 7 1
2 10,22 34 12 46 6 2 40 10
5 8,8 5 5 3
20 5,0 5
17 5,5 17 22
18 20,26 20 18 28 24 22
16 3,16 10 10 16 29 29
11 10,1
10 10,21 18 12 16 15 10
17 19,17 41 19 36 46 5
18 15,4 2 5 1 6 8 5 1
3 18,3 9 10 39 18 49 21
11 5,11
3 9,3 45 33 27 21 39 9 15
15 18,15
10 5,1 1 1 2 0 0 2 5 0
13 2,9 31 13 20 2
12 20,20 12 36 28
11 3,3 11
19 11,11 30 41 19
17 14,4 7
10 5,0 5 10
4 2,0 8 10 2 6 2 4 4
14 18,14
3 16,3 42 68 16 29 55
15 7,7 22 15 29
5 5,5 5 5 5 5 5 5
8 8,8 8 8 8 8 8
8 19,8 74 63 30 52 41 19
13 19,25 13 19
16 13,16
9 17,5 3 1
13 2,13 2
20 17,8 20 14 11 5 2 17 1
5 6,6 6 5 5 3
12 12,36 24 12 46 8 2 6 12 10
10 10,10 10 10 10 10 10
19 13,32 19 13
17 16,7 3 6
20 6,1 4 0 2
4 18,8 4
8 4,4 8
14 13,2 4 0 1 8
7 18,25 18 7
9 5,7 5 1 15 9 11 3
16 10,16
10 1,0 1 2 1
4 10,2 2 0 1 2 0 4
3 8,18 3 28 23 38 8 33 13
15 19,27 23 19 15 31 35
10 19,0 1 0 2 2 9 3 1 1
1 19,5 48 7 39 1 9 19 20
20 13,0 4 8 2 2 6 0 2 6
20 4,4 4 0 0 2 2 0 4 2
4 18,4 32 24 38
8 2,8 6 10 2 22 34 12
16 8,2 1
15 3,3 5 4 4 5
8 7,6 5 7
10 3,1 3 2 0 4 5
1 15,5 1 1
15 9,15 3 3 3 15 9 9 15
18 11,10 10 4 18 17 17 4 4
14 6,8 4
14 3,2 4 3 5 3 4 2
18 10,18
5 17,5 17
15 3,49 39 9 3 15 18 10 21 8
11 14,1 1 4 2
20 9,9 0 2
1 19,5 48 20 19 1 9 7 39
8 5,8
14 20,20 38 4 34 30 42 14
9 16,6 6 0 2 2 9 5 6
1 14,53 1 79 66 14 27 40
6 20,6
2 17,2
5 4,5 4 9
9 7,1 1 5 9 3
15 7,3 5 7
20 3,0 4 0 8 6 2
9 7,3 3 9 7 4
6 14,5 6 4 6 5
16 18,16
1 10,1
12 18,8 2
4 9,3
3 19,9 1 3 3 1 3 3 3 1
20 7,6 20
13 6,7 4 6 7 3
17 7,7 5 5 5 3 3 7 1
10 9,10
20 11,16 20 25 2
10 7,5 10 2 4 4 5 4 5 2
20 20,0
5 20,5 30 35
15 15,17 21 20 23 15
9 18,81 45 36 54 18 9 27 72 63
15 2,15 24 37 11 2
17 14,4 5 1 8 17 14 2 11
17 11,17 5 11 7 1
2 1,2 2 1 0 1
10 20,10 30 40 20
8 2,0 4 4 2 8 4 2 0 2
15 13,19 28 29 10 13 39 41 15
16 11,4 16 9 4 6 6 9
7 4,8 1 8 8 1 5 7 5 1
12 7,21 3 12 37 45 26 19 7 16
6 17,2 4 0 7 0 4 6
17 1,7 3 9 5 1 1
3 12,3 3 3 6 6 6
11 17,2 0 7 0 1 2 1
20 5,4 5 4 5 3 0 0
1 7,7 1 13
19 19,3 2 6 8 3 7 1
2 9,44 37 2 16 8
11 2,11 2
6 2,2 2 2 2 6 2
20 19,0 3 9 3 4
1 15,1 1 2 2 4 5 0 0
11 13,11
5 10,6 5 0 9 7 2 1 4
1 5,1 9 13 5
6 4,4 2 4 4 4 2 2 2
16 2,16
14 6,4
3 13,3 13
20 7,3 7 5 0 8 5
14 18,38 14 8 46 22 34 20 12
10 6,22 10 16 6
19 16,36 1 16 19 35
13 20,27 13
9 8,9
16 16,16 16 16 16
3 4,3 4
13 12,6 1 5 7 7 6
2 3,3 2
11 7,11 7
1 20,1 20
8 4,8 5 1 9 2 7 3 4 6
2 14,14 26 2 38
1 15,1 15 57 85 43 29 71
12 13,18 12 13 14 16 17 15
4 15,34 19 15 37 3 4
11 18,47 18 11 23 29 26 49
2 20,0 0 2 2
3 14,14 17 3 31
1 20,12 1 20 21 41 3
6 6,6 6
16 1,16 14 14 16 31
9 2,13 9 37 11 24 11 2
10 10,1
6 14,6 5 5 4 6
16 9,1 6 4 5 5 7 7 6 4
1 2,7 1 3 9 6
9 4,3 3 6 6 3
6 7,4 2 4
1 5,1
14 20,0 44 26 14
14 20,26 14
16 12,1 2 9
4 15,4 15
5 11,17 35 23 5 29 11 41
18 12,2 8 2
9 2,9 5 5 16 16 9
9 1,9 9 9 9
13 18,38 13 23
11 20,20 47 38 11 29
1 8,31 19 17 8 26 12 9 1 43
17 20,2 7 0
19 2,19
13 5,19 13 41 14 18 23 5 5
9 8,3 7 4 9
8 13,8
20 16,18 28 20 16 40 38 2 36
17 14,14 45 26 31 21 17
14 13,5 2 2 3 4 1 0
13 18,3 23 38 13 43
8 5,8
9 1,7 23 15 1 9
3 15,27 3
19 19,7 2 3 6 1
16 16,5 6 6 2
19 9,0 0 0 0 9 0 9 0
2 17,32 27 17 2 32 42 22
17 7,3 7 1 1 7 3 5 5 5
13 12,3
18 16,18 6 14 8 2
11 13,0 3 6 8 5 7 4 1 9
15 2,15 11 11 28 11 15 15 28
3 20,0 6 0 6 0 6
3 2,7 7 2 6 0 3
6 2,2 10 6
16 8,0 0 16 16 0 16 24 24
9 17,9
11 16,41 16 21 11 36 21 31 1
13 1,4 2 4 3 5 3 6 1
8 5,18 13 8 5 31
8 8,8 4 6 0 6
7 15,47 23 7 21 5
7 18,7
5 19,3 33 75 17 19 5 47 89 61
15 13,3 5 2
4 7,22 19 4 28 10
13 15,23 15 13 17 19 21
3 6,9 3 21 18
20 5,0 0 1
19 13,3 1 4 5 9
16 8,2 4 8 4 6 0 4
20 1,20
6 11,6
5 14,7 9 0
20 16,12 20 0
20 2,2 0 0
11 6,11 1 9 9 14 1 14
18 18,18
16 6,28 28 0 16 6 22
15 16,16 47 28 25 31 3 15
8 7,1 8 5 9 0 7 6
9 11,9 9
5 12,19 5 40
10 14,38 0 12 12 14 10 24
3 17,59 1 15 3 45 87 31 73 17
6 3,6 9 0 6 0 0 9 6
11 11,11 11 11 11 11
13 4,21 4 17 38 9 13 47
16 18,16
9 19,1 7 7 1 1 7 7 1
10 16,28 10 16 34 22
2 15,41 15 28 67 2 54
8 17,5 8 1 1 2 1 5 0 7
12 1,2
15 18,7 2
18 10,0 8 2
9 12,15 42 24 1 27 45 33 9
12 18,2 3 1 1 8 4
10 14,1 1 5 0 4
6 5,1 2 0 2 6 1 1 4 0
17 19,17 21 27 39 29 33
11 11,11 11
19 13,11 7 5 19 7 11
1 9,9 29 10 1 19
10 19,5 10 14 9 32 28
15 5,5 5 5 7 7 7
4 10,2 7 1 3 4 0 5 6 8
3 3,9 9 9 9 9 9 9
7 12,17 47 12 27 17 37 32 7
17 20,17
4 2,4 0 6
15 12,12 15
16 13,2 0
18 10,8 0 1
14 13,13 10 12 11 14
14 9,1
3 6,3
12 18,2 8
17 5,7 17 5
5 9,2 5 9
18 19,18 20 19
8 16,16 8
1 10,1 27 19 4 46 23 5 0 9
2 20,0 4
1 11,41 31 21 11 21 1 11 1
8 2,6 1
19 1,17 19 19 37
15 6,27 15 48 21 6
12 5,17 12 39 5 22 11
5 20,0 45 15 5 25 20 35 20
16 7,6 0 2 0 4 4 7
13 12,7 6 6 1 5 7 8
5 3,1 3 3 5 1 3 1 3 1
11 9,11
17 3,17
2 3,2 8 4 8 4 2 0 0 6
1 18,1 18
20 16,0 3 2
20 15,20 35 15
5 5,1 8 6 0 5 7 4 2 9
19 7,19 7
13 12,3 2
15 12,5 2 0 6 2 5 1 4 4
1 13,1
5 16,1 2 1 5 6
12 20,24 48 10 12 0 28 2 26 8
16 9,16 19 2
8 10,20 30 12 18 24 8
10 15,0 5 6 1
15 5,5 7
1 3,3 18 1 26 4 29 7 11 47
13 7,0 3 2 9 4 1 1 2
19 5,19 19 33 9 19 9 33
6 1,1 7 6
1 6,1
2 18,3
6 11,6
1 7,37 31 1 17 13 49
6 20,6 6 6 4 0
12 13,12 38 13 13 25
13 8,8 37 29 29 8 13 21 29 0
11 17,35 11 29 17 23
20 11,0
3 6,0 1 0 6 3 2
10 9,5 7 6 8 10 9
13 9,1 7 2 8 1 3
18 4,18 18 10 32 10
1 17,3 17 38 1 35 18
16 15,15 16
2 1,2 1
3 17,3 31 17 45
10 12,34 12 22 10
6 16,56 46 36 66 76 16 26 6
7 7,5 9 4
8 20,32 56 20 68 44 8
2 1,0 6 8 4 6 8 2 4
3 3,9 9 9 9 9 9 9 9
5 5,7 16 10 13 11 5
6 2,10 6 8 2
1 7,0 9 9 7 8 8
1 11,21 1 11 1 31
9 12,15 9
2 12,6 2 8 8 4 4 6
13 7,1 13 7
17 5,5 17
17 15,13 17 7 9 15 11
8 7,9 5 6 8 7
2 6,2 2 2 2 2 2 2 2 6
18 10,1 0 0 8 8 0 8 8 0
7 20,7 22 33 11 0 35
15 20,5
2 6,22 8 14 2 44 6 36 8
20 16,4 20 12 0 16 8
18 7,18 29 4 18 18 29 4
10 16,40 46 34 22 16 10 28
13 9,3 3 1 9 3
13 17,1 2 2
9 12,27 42 9 24 33 15
11 14,17 14 11 23 20 26
13 17,17 21 13
11 8,5 5 8 4 1 1 2
8 18,8 8 0
6 15,6
7 3,7
20 6,64 50 78 8 36 20 6 22
18 4,32 10 32 18 10 18
10 17,44 21 10 15 27 17 1 36
6 5,0 0 3 3 3 0
13 9,31 21 37 34 13 22 9 3
13 20,2 6 0 7
3 20,3 1 0 3 0 0 1 2
18 6,18 6
20 9,8 1
8 12,32 16 2 28 8 40 6
2 5,14 2 17 8 5 20 11 23
9 18,17 27 6 18 39 22 9 45
3 19,3 35 51 83 19 67
14 17,14 17
19 13,19 22 32 27 13 45
18 4,38 10 24 4 18 52
14 4,24 14 14 6
13 4,5 2
12 2,2
2 15,28 17 45 8 34 2 30 6 23
9 8,7 2 2 7 2 7 7 2 7
3 5,3
18 16,8 14 2 10 18 16 12 4 6
11 17,23 27 47 41 11 9
6 20,20 46 26 6
1 15,1 2 1 5 2 0
7 19,6 5 3 4 6 3 1 5 4
18 13,4 5 2 2 3 8 3 4 1
3 9,2 7 2 7 7 2 2
17 13,17 39 16 43 23 13 30
2 12,12 2
6 19,6 71 84 58 97 10 19 45 32
17 14,11 17 8 14
13 9,3 13 7 5
15 11,6 5 1
2 11,1 2 4 0
18 14,18 14 32
4 14,74 64 54 34 24 14 84 4 44
6 12,12 36 18 42 24 30 6 48
1 7,7 37 13 1 19 31 25
9 8,7 9
6 11,5 6 1 2 0
2 8,4 2 0 0 4 2 8
18 16,8 6
14 20,0 4
7 11,29 23 26 7 11 47 18
11 6,11
14 5,0 1 4 6 9 2 7 3
5 6,5 10 7
14 16,46 48 16 20 22 26 14 30
9 14,2 2 2 6 1 6 2 6
10 6,2 10 6 10
15 3,3 45 33 57 15 9 21
16 3,3 16 19
5 1,7 6 5 1
2 14,4 2 0 3 3 0 4
20 13,0 8 2 0 2 4 6 2
1 3,4 1 3
4 12,12 22 4 28 16 44
9 10,29 10 19 2 48 9 27 25 27
16 5,27 16 6 6 16 16 27
11 4,38 45 17 4 10 3 31 11 24
3 14,80 47 14 58 69 3 25 36
15 10,10 5 5 5 15 10 5
4 8,4 8
7 20,4 5 0 1 1
10 5,15 10 0 0 10
9 2,13 37 24 9 11 2
17 12,17 7 8
19 8,58 25 14 69 36 8 47 19 3
4 16,20 36 16 4
7 5,3 1 3 7
7 6,5 6 3 7 4
4 10,4 28 10 22 16
4 8,4
10 18,26 10 0
6 6,3 6 6 6 3 3 3 6 3
11 12,23 12 11
8 1,2 2 8 0 0 4
16 16,16 21 22 18
20 7,20 6
10 6,0 2 4 4 2 6 0 0
7 6,7
14 20,20 34 14 38 4
6 6,6 6 6 6 6 6 6 6
15 5,7 5 5 7 7 5
18 10,1
8 1,2 0 0 8
13 13,0 6 7 1 9
13 16,31 28 13 19
15 20,0 0 0 0 0 3 0
14 8,22 8 14 30
7 10,8 0 1 2 0 9 7
7 11,27 15 7 1 39 31
8 1,8 1
7 19,4 6 5 1 3 4 5 3
16 20,44 16 20 48 40 24 32 28 36
16 12,4 8 16
13 7,7 3 8
16 11,7 1
5 3,1 5 3 3 1
4 19,34 29 24 44 4
20 15,6 4 2 3 4 0 0 2
16 11,6
1 8,2 1 9 2 1 9 0 8 0
17 3,9 1 5 1 7 3 5 7
15 2,0 3 3 0 3 0
12 19,2 8 2 2 8 8 2 2
15 13,9 1
9 13,13 35 22 42 7 9 49
1 20,39 1
2 15,0 3
3 12,30 48 39 3 21 57 66 75 12
17 3,7 7 0 8 4 3 8 2
16 7,16 23 3 7 30
3 3,3 3 3 3 3 3 3 3
5 14,5 6 4 1 5 0
8 13,1 2 8 3
7 10,21 44 27 15 10 7 17
1 16,1
11 17,1
11 5,13 1 19 11 5 7
14 15,4 1 1 5 2 1 0 2
1 7,15 8 1 7
2 14,4 4 0 2
6 20,6
5 18,44 57 18 9 96 31 83 5 70
16 17,16 21 19 18 20 17
12 4,4 4 12
20 1,18 20
17 15,5 5 2
14 19,29 14 19 34 39 24
17 2,7 6 3 8 0 9 4 5
4 9,4
6 19,4 1 1
12 14,16 12 22
7 4,6 7 6 1 4
13 18,8 3 3 1 4 4
18 20,6 6 3 0
1 7,8 7
16 20,20 24 16 28
6 6,6 8 11
11 2,2 3 5 1
11 6,11 1 6
8 13,8 2 4 6 1 0 4 6
2 17,8 5 7 4 6 3
8 19,2 8 8 9 2 7 7 6 4
10 15,5 3 5 0 5 0 4 4
10 3,17 10 4
4 2,8 2 4 2 4 6 0
2 10,10 2 34 26 18 58 42 50
20 9,20
16 10,6 0 1 1 7
15 8,39 4 8 15 24 35 23 31
2 11,20 47 24 2 6
7 20,0 7 7
18 17,12 16 13 18 14 15 17
9 14,9 4
12 5,2 16 5 9 12
12 5,6 0 0 6 6 6 0 0
5 19,89 33 61 47 5 19 75
15 11,15 7
4 11,0 1 2 4 1
6 5,6 5 27 11 16
9 4,4 13 9
8 17,8 26 17
18 13,4 2 3
8 7,7 9 5 8 6
18 20,20 22 28 24 26 30 34 18 32
10 7,9 7 0 1 2 8 0
2 19,1 1 9 2 0 2
20 16,0
20 11,25 16 25 16 2 20 2
3 11,2 1 3 1 0 2 1 0 2
1 9,19 10 1 9 29
2 12,2 0 8 0 4 6 6 4 8
6 7,7 10 12 11 6 8 14 13 9
8 10,0 0 8
6 20,46 26 6 20
6 5,3 3 0 3 0 0
15 4,15 7 26
13 17,13 17 25 21
5 4,2 6 4 0 2
19 6,6 9 0
14 14,14 25 20 22 19 26 16
3 11,2 0 1 3 0 2 1 1 2
13 10,0 3
10 15,1 1 5 7 6 0
17 8,1 17
5 11,17 5 11 23
4 18,4
7 1,1 7
13 5,5 3 3 6 3 5 6
16 10,16 10 26
16 4,16 4
14 3,4
13 17,11 13 7 45 33 21 37
12 13,14 38 1 13 25 13 12
16 17,22 24 18 27 21 16
7 1,7
8 18,78 18 88 48 58 28 68 8 38
3 8,8 3
6 12,6 40 4 28 22 36 42 18
8 5,18 31 5 8 13 49
2 10,2 2 0
6 16,16 36 6 46 26
15 4,0 0 0 0 6 6 6 6
11 7,9 7 7 9
6 15,24 6 15
14 9,2 1 3 9 4 3 1 4 3
9 5,7 11 1 9
13 1,25 11 13 13 25 13 25 11 11
12 9,9 6 12
2 14,14 22 46 2 30 16 26
9 7,23 12 7 39 16 1 9
1 2,2 1 3
10 6,6 16 48 38 6 22 10 8 10
18 2,3 3 6
8 2,1
6 20,2 1 2 2 0 0 2 0
2 16,2 3
3 20,3 20
10 2,6 18 10 6 10 18 10
2 7,4 3 1 7 4 3 2 2
7 11,5 5 7 2 1
7 7,7 7 7 7 7 7 7 7
12 2,2 12
20 2,0
2 5,8 11 5 2
4 1,6 5 1 4
8 17,3 26 30 8 12 7
8 18,78 18 68 28 38 48 8 58
11 11,1 2
9 9,27 9 9 18
7 5,3 7
8 11,8 9 32 44 23 0 41 26 14
18 10,2 2 22 18 14
12 8,2 8 7 0 8
13 2,9 13 2 31 20
6 4,2 4 6 6 8 4 2 0
6 8,8 6
13 1,13
17 4,17 9 35 61 22 4 48
9 9,9 9
2 18,44 26 34 28 2 30 24 32 48
11 13,3 1
19 2,19 15 36 36 36 15 19 19 15
7 18,7
3 12,0 2 3 3 3 3 2
4 13,2 5 4 3 3 4
16 20,20 28 24 32 16 40 36
4 1,28 6 5 11 1 45 4 23 17
13 6,8 7 8 9
4 15,5 1 6 0 4
15 17,25 19 27 15 31 43 39 37
10 1,0 5 1 0 2 5 1
2 2,2 2 6
10 9,10 2 7 5 9 6 8 3 4
20 7,6 0 4 4 1 0 2 8
7 8,6 5 6
18 7,1 2 6
17 3,7
2 20,2
13 14,41 13 14 27
15 3,4 5 5 4 4 4 5
14 18,4 1 7 2 9 5 6 2
15 10,0 0 5 0 5 1 5 0 5
15 12,12 39 16 15 27
20 20,4 4 4 0 2 2 6 0
19 13,9 4 1 2 6 3 5
9 5,9 5
1 3,6 3 3 3 0 1 1 1
1 10,32 1 35 11 3 21 10
11 9,11
8 19,30 8
5 2,5 8 1 8 1 5 5
2 15,54 93 80 41 67 2 15 28
5 15,15 5 5 35 25
11 2,2 4 6 2 6 4 8
11 5,37 5 11 8 21 16
4 20,2 4 2 0 4 2 0
9 6,43 36 43 9 15 0 7 6 21
11 2,43 15 21 13 14 2 28 11
7 6,8 8 6 1 7
11 2,11 7 7 11 20 20
11 17,17 11
20 5,2 2 0 1 0
5 9,37 29 13 3 5 49 25
18 20,4 4 8 0 2
2 17,2 32 47 62 92 77 17 7
12 15,24 21 15 27 18 12
16 2,38 8 20 18 2 46 16 4
7 7,21 14 7 7
3 12,25 2 3 11 29 7 48 21
16 11,9 16 6 4
12 19,1 3 4 4 2 2 9
18 20,20 8 38 18 46 4
12 19,47 12 18 39 4 26
18 20,22 18 28
18 11,11 9 29 18 19 40 28
6 5,5 6 11
10 10,20 30 10 10
16 18,8 2 8 9
12 3,6 21 12
9 19,9 19
4 19,49 64 4 19 34
9 19,9 19 29 39 19 9
10 13,10
7 17,24 15 7 41 17
18 10,0 8
14 19,24 39 19 34 29 14 44
10 16,0 1 6
3 19,31 27 45 29 49 3 33 35
4 20,0 8
15 19,19 15
14 10,10 2 6 14
9 11,25 33 9 31 21 19 13
6 15,9 0 0 9
10 7,10 5 1 2 4 7
16 5,6 16
10 3,17 10 4 10
17 12,2 4 4 6 0 2
7 8,7 8 15
7 19,1 7 9 1 1 3 3 7
17 1,17 15
9 7,3 3 6 6 3 6
2 13,6 4 6 8 0 2 2 0 8
11 6,14 9 1 1 11
18 7,6 2 2 6 1 2
14 14,20 14 28 42 14
12 11,12 10
1 10,1
10 11,16 12 13 15 10 11 14
16 13,2 2 16 10 5 1 4
12 2,2 0 2 1 2 0 1 1 2
4 20,20 36 52 4
4 5,4 2 5 6 3 0 1 2 3
16 20,6 36 16 20
5 4,4 1 3 2 5 0 1 3 0
5 16,5 27 10
18 8,0 0 0 0 8 0 8
12 1,1 2 1 1 2 1 2 2 1
12 4,4 12 20 12
1 6,1 11 6 16
13 8,13 0 29 8 21
13 1,2 3 6 3 4 1 5 4
5 3,5
20 19,0 3 8
8 10,8
10 17,16 8 24 2 29 10 45 37 44
3 12,3 57 30 39 12 21 48
11 11,38 11 22 11 33 5
18 3,3 8 2 1
12 6,12 0 18 18 12 12 0 0 18
11 19,35 43 27 19 11
3 10,45 17 3 38 9
4 18,0 0 4 8 0 0 0
16 9,2 16 19
15 1,0 0 2 4 1 2 5 4
14 11,1 4 6 0 4 6
15 3,5 4
8 14,8 14
10 18,1 2 8 1 0 1 2 0 0
7 6,33 7 19 1 6 13 32
5 18,18 5 23
1 1,1 1
14 9,6 2 4 8 1
7 18,1 7 5 2 5 0 8 1
14 17,14
8 14,20 8
10 19,14 10 18 36 28 5 9 32
8 19,8 4 7 6 7 9 8
3 17,49 31 21 7 37 23 3 41 15
5 14,32 14 5 23
10 17,7 5 0
1 5,17 1 5 9 25 13 21
13 10,13 2 1 5 1 7 4 5
3 12,3 27 12 42 19 15
15 6,9 9 9 0 0 0 9 9 0
15 11,9 1 5 17 13 11 7 3 15
19 1,9
14 16,4
18 12,12 0 6 18
3 17,3 31 23
8 7,0 7 3 8 3 2 2
12 12,36 24 46 10 12 12 6
15 3,4 5 4
1 4,7 34 19 1 16 25
3 8,18 3 13 8
7 19,43 79 67 19 7 91 55 31
3 9,3 21 15 33 9 27 39
15 14,14 11 15 12 10 13
19 11,19 3 21
3 18,18 3
2 12,6 26 12 22 2 14 16 40
15 20,35 15 20
1 10,2 0 1 5 5 1 1
8 6,8 4
3 3,9 9 9 9
14 17,2 1 7 5 0 0 5 4
15 6,6 2 5
1 6,1 6
17 3,11 11 31 31 17 17
6 17,1
11 14,1 4 1 2
16 3,16 10
17 18,22 17 23 19
3 20,37 88 71 20 54 3 5
6 7,6 5 7 7 0 1 2 6 2
14 13,14 9 12
5 5,5 5 3 5 1
8 5,0 8 5 1 5
7 9,6 3
4 9,4
6 20,90 18 6 76 34 20 48 4 62
1 9,9 17 41 33 49 65 57 1 25
2 12,2
15 14,15 37 15 14 29 22 43
12 7,8 4 8 4 8
18 16,14 16 10 12 18
1 12,25 1 13 12
11 17,23 11
6 11,11 6 45 17 28
13 8,2 3 1 0 2 8 1 1
4 4,0 0 4 4 0
17 5,7 1 5
17 15,5 2 5
6 17,61 50 72 17 28 6 39
12 5,2 19 12 12
20 19,12 17 20 13 19 16 14 18 15
10 4,16 2 10 10 10 2 16
4 16,0 4 14 26 36 28 22 48
17 3,11 31 17 17
2 6,2
12 19,46 18 10 39 12 26 31 47 4
4 15,1 4 5 0 4 2 5 1 6
18 13,3 2 8
6 2,6 2 2 2 2 2
13 14,13 14 16 15
11 6,6 1 11 14 4 9
15 3,9 3 33 21 15 45
20 4,0
2 12,2 2 22
6 5,2 0 5 6 4 1 3
10 20,10
14 20,48 36 14 16 26 12 44 30 0
5 14,5
6 16,6 6 9 9 9 6
1 18,8 2 1
6 2,6
10 5,5 0 2 1 1 0
16 9,9 9 34 25 16
1 1,1 3 6
10 13,3 1 5 4 0 1
17 5,1 1 1 5 3 7 3
9 2,19 12 2 26 33 9 5
1 16,6 2 1
